month,Census metropolitan area (CMA),Unemployment rate
Apr-21,"    St. John's, Newfoundland and Labrador",9.3
Apr-21,    Halifax,8.1
Apr-21,    Moncton,8.8
Apr-21,"    Saint John, New Brunswick",9.7
Apr-21,    Saguenay,5.8
Apr-21,    Québec,5
Apr-21,    Sherbrooke,4.9
Apr-21,    Trois-Rivières,4.9
Apr-21,    Montréal,7.7
Apr-21,    Ottawa-Gatineau,6.7
Apr-21,"      Ottawa-Gatineau, Quebec part",6.6
Apr-21,"      Ottawa-Gatineau, Ontario part",6.7
Apr-21,    Kingston,7.9
Apr-21,    Belleville,12
Apr-21,    Peterborough,6.7
Apr-21,    Oshawa,7.7
Apr-21,    Toronto,9.5
Apr-21,    Hamilton,7.3
Apr-21,    St. Catharines - Niagara,11.7
Apr-21,    Kitchener - Cambridge - Waterloo,6.2
Apr-21,    Brantford,6.4
Apr-21,    Guelph,9.4
Apr-21,    London,8.2
Apr-21,    Windsor,10.6
Apr-21,    Barrie,8.3
Apr-21,    Greater Sudbury,8.8
Apr-21,    Thunder Bay,8
Apr-21,    Winnipeg,7.5
Apr-21,    Regina,8.4
Apr-21,    Saskatoon,7.7
Apr-21,    Lethbridge,7.3
Apr-21,    Calgary,9.3
Apr-21,    Edmonton,10.5
Apr-21,    Kelowna,5.7
Apr-21,    Abbotsford - Mission,5.5
Apr-21,    Vancouver,7.4
Apr-21,    Victoria,6.2
,,
"Source: Statistics Canada, Labour Force Survey, Table 14-10-0294-01, (seasonally adjusted data three-month moving average to reduce volatility caused by small sample size). ",,
