month,Census metropolitan area (CMA),Unemployment rate,
04/01/2022,"    St. John's, Newfoundland and Labrador",6.9,STAT: Estimate (Monthly)
04/01/2022,    Halifax,4.9,
04/01/2022,    Moncton,5,
04/01/2022,"    Saint John, New Brunswick",7.1,
04/01/2022,    Saguenay,4,
04/01/2022,    Québec,2.5,
04/01/2022,    Sherbrooke,2.9,
04/01/2022,    Trois-Rivières,3.4,
04/01/2022,    Montréal,4.8,
04/01/2022,    Ottawa-Gatineau,4.6,
04/01/2022,"      Ottawa-Gatineau, Quebec part",2.6,
04/01/2022,"      Ottawa-Gatineau, Ontario part",5.2,
04/01/2022,    Kingston,6.2,
04/01/2022,    Belleville,3.1,
04/01/2022,    Peterborough,3.9,
04/01/2022,    Oshawa,4.9,
04/01/2022,    Toronto,6.3,
04/01/2022,    Hamilton,5.2,
04/01/2022,    St. Catharines - Niagara,5.2,
04/01/2022,    Kitchener - Cambridge - Waterloo,5.6,
04/01/2022,    Brantford,4.8,
04/01/2022,    Guelph,5.1,
04/01/2022,    London,4.8,
04/01/2022,    Windsor,6.4,
04/01/2022,    Barrie,7.1,
04/01/2022,    Greater Sudbury,3.5,
04/01/2022,    Thunder Bay,4,
04/01/2022,    Winnipeg,5.3,
04/01/2022,    Regina,6,
04/01/2022,    Saskatoon,4.4,
04/01/2022,    Lethbridge,5.5,
04/01/2022,    Calgary,7.2,
04/01/2022,    Edmonton,6.9,
04/01/2022,    Kelowna,5.3,
04/01/2022,    Abbotsford - Mission,4.5,
04/01/2022,    Vancouver,5.4,
04/01/2022,    Victoria,4.4,
,,,
"Source: Statistics Canada, Labour Force Survey, Table 14-10-0294-01, (seasonally adjusted data three-month moving average to reduce volatility caused by small sample size). ",,,
