month,Census metropolitan area (CMA),Unemployment rate,
12/01/2021,"    St. John's, Newfoundland and Labrador",7,STAT: Estimate (Monthly)
12/01/2021,    Halifax,6.2,
12/01/2021,    Moncton,6.3,
12/01/2021,"    Saint John, New Brunswick",8.3,
12/01/2021,    Saguenay,3.6,
12/01/2021,    Québec,2.6,
12/01/2021,    Sherbrooke,3.3,
12/01/2021,    Trois-Rivières,5,
12/01/2021,    Montréal,5.3,
12/01/2021,    Ottawa-Gatineau,4.1,
12/01/2021,"      Ottawa-Gatineau, Quebec part",4.3,
12/01/2021,"      Ottawa-Gatineau, Ontario part",4,
12/01/2021,    Kingston,6.1,
12/01/2021,    Belleville,5.4,
12/01/2021,    Peterborough,9.5,
12/01/2021,    Oshawa,6.5,
12/01/2021,    Toronto,7.2,
12/01/2021,    Hamilton,5.8,
12/01/2021,    St. Catharines - Niagara,7.6,
12/01/2021,    Kitchener - Cambridge - Waterloo,5.5,
12/01/2021,    Brantford,7.2,
12/01/2021,    Guelph,3.9,
12/01/2021,    London,5.7,
12/01/2021,    Windsor,6.9,
12/01/2021,    Barrie,5.4,
12/01/2021,    Greater Sudbury,5.7,
12/01/2021,    Thunder Bay,6.6,
12/01/2021,    Winnipeg,5.4,
12/01/2021,    Regina,5.6,
12/01/2021,    Saskatoon,5.5,
12/01/2021,    Lethbridge,6.7,
12/01/2021,    Calgary,8.2,
12/01/2021,    Edmonton,6.6,
12/01/2021,    Kelowna,5.1,
12/01/2021,    Abbotsford - Mission,7.4,
12/01/2021,    Vancouver,5.7,
12/01/2021,    Victoria,3.9,
,,,
"Source: Statistics Canada, Labour Force Survey, Table 14-10-0294-01, (seasonally adjusted data three-month moving average to reduce volatility caused by small sample size). ",,,
