month,Census metropolitan area (CMA),Unemployment rate
Feb-21,"    St. John's, Newfoundland and Labrador",9.4
Feb-21,    Halifax,8.1
Feb-21,    Moncton,9.2
Feb-21,"    Saint John, New Brunswick",12.2
Feb-21,    Saguenay,5.9
Feb-21,    Québec,5
Feb-21,    Sherbrooke,6.2
Feb-21,    Trois-Rivières,6.7
Feb-21,    Montréal,8.2
Feb-21,    Ottawa-Gatineau,6.5
Feb-21,"      Ottawa-Gatineau, Quebec part",7.6
Feb-21,"      Ottawa-Gatineau, Ontario part",6.1
Feb-21,    Kingston,7.3
Feb-21,    Belleville,7.4
Feb-21,    Peterborough,12.5
Feb-21,    Oshawa,8
Feb-21,    Toronto,11.1
Feb-21,    Hamilton,7.1
Feb-21,    St. Catharines - Niagara,12.4
Feb-21,    Kitchener - Cambridge - Waterloo,7.8
Feb-21,    Brantford,7.6
Feb-21,    Guelph,7.8
Feb-21,    London,6.9
Feb-21,    Windsor,10.7
Feb-21,    Barrie,13
Feb-21,    Greater Sudbury,8.7
Feb-21,    Thunder Bay,8.3
Feb-21,    Winnipeg,8.3
Feb-21,    Regina,8.5
Feb-21,    Saskatoon,8.4
Feb-21,    Lethbridge,6.8
Feb-21,    Calgary,10.6
Feb-21,    Edmonton,11.6
Feb-21,    Kelowna,5.2
Feb-21,    Abbotsford - Mission,7.4
Feb-21,    Vancouver,7.9
Feb-21,    Victoria,4.9
,,
"Source: Statistics Canada, Labour Force Survey, Table 14-10-0294-01, (seasonally adjusted data three-month moving average to reduce volatility caused by small sample size). ",,
