month,Census metropolitan area (CMA),Unemployment rate,
02/01/2022,"    St. John's, Newfoundland and Labrador",7.3,STAT: Estimate (Monthly)
02/01/2022,    Halifax,5.7,
02/01/2022,    Moncton,6.1,
02/01/2022,"    Saint John, New Brunswick",7.3,
02/01/2022,    Saguenay,4.4,
02/01/2022,    Québec,2.8,
02/01/2022,    Sherbrooke,2.8,
02/01/2022,    Trois-Rivières,5,
02/01/2022,    Montréal,5.2,
02/01/2022,    Ottawa-Gatineau,4.9,
02/01/2022,"      Ottawa-Gatineau, Quebec part",4.6,
02/01/2022,"      Ottawa-Gatineau, Ontario part",5,
02/01/2022,    Kingston,5.7,
02/01/2022,    Belleville,2.3,
02/01/2022,    Peterborough,5.9,
02/01/2022,    Oshawa,6.4,
02/01/2022,    Toronto,7.4,
02/01/2022,    Hamilton,5.2,
02/01/2022,    St. Catharines - Niagara,6.3,
02/01/2022,    Kitchener - Cambridge - Waterloo,5.2,
02/01/2022,    Brantford,5.5,
02/01/2022,    Guelph,4.3,
02/01/2022,    London,5.8,
02/01/2022,    Windsor,8.3,
02/01/2022,    Barrie,7.7,
02/01/2022,    Greater Sudbury,4.3,
02/01/2022,    Thunder Bay,5.9,
02/01/2022,    Winnipeg,4.9,
02/01/2022,    Regina,5.4,
02/01/2022,    Saskatoon,4.8,
02/01/2022,    Lethbridge,7.5,
02/01/2022,    Calgary,8,
02/01/2022,    Edmonton,6.9,
02/01/2022,    Kelowna,7.1,
02/01/2022,    Abbotsford - Mission,4.2,
02/01/2022,    Vancouver,5.4,
02/01/2022,    Victoria,4.2,
,,,
"Source: Statistics Canada, Labour Force Survey, Table 14-10-0294-01, (seasonally adjusted data three-month moving average to reduce volatility caused by small sample size). ",,,
