Date,CHAR,  Ontario,    Ottawa-Gatineau,"      Ottawa-Gatineau, Quebec part","      Ottawa-Gatineau, Ontario part",    Kingston,    Belleville,    Peterborough,    Oshawa,    Toronto,    Hamilton,    St. Catharines - Niagara,    Kitchener - Cambridge - Waterloo,    Brantford,    Guelph,    London,    Windsor,    Barrie,    Greater Sudbury,    Thunder Bay
01/01/2020,Population,12146.9,1185,283,902,141.1,120.2,110.9,339.8,5457.9,663.1,369.9,487.3,118.2,138.4,457.7,299.4,178.4,145.1,106.9
01/01/2020,   Labour force,7927.2,823.4,190.8,632.6,87.4,60.3,63,223.4,3665.9,437.7,222.4,349.1,79.9,91.4,283.3,181.9,133.7,92.4,67.7
01/01/2020,      Employment,7504.9,788.8,182,606.7,82.1,55.2,58.3,208.1,3466.7,416,210,330.2,76.1,86.8,268.8,166.2,127.4,87.3,64.2
01/01/2020,      Unemployment,422.4,34.6,8.7,25.9,5.3,5.1,4.7,15.3,199.2,21.7,12.4,19,3.8,4.6,14.5,15.7,6.4,5.1,3.4
01/01/2020,Unemployment rate,5.3,4.2,4.6,4.1,6.1,8.5,7.5,6.8,5.4,5,5.6,5.4,4.8,5,5.1,8.6,4.8,5.5,5
01/01/2020,Participation rate,65.3,69.5,67.4,70.1,61.9,50.2,56.8,65.7,67.2,66,60.1,71.6,67.6,66,61.9,60.8,74.9,63.7,63.3
01/01/2020,Employment rate,61.8,66.6,64.3,67.3,58.2,45.9,52.6,61.2,63.5,62.7,56.8,67.8,64.4,62.7,58.7,55.5,71.4,60.2,60.1
02/01/2020,Population,12158.6,1186.4,283.1,903.2,141.3,123.4,111.1,340.1,5465,663.3,370.1,488.2,118.2,138.5,458.4,299.9,178.6,145.1,106.9
02/01/2020,   Labour force,7935.3,811.8,188.7,623.1,87.3,63.7,62.3,228.2,3671.3,436.7,220.8,351.5,78.7,91.7,283.5,182.9,136.4,93.1,67.6
02/01/2020,      Employment,7512.3,777.1,180.1,597,82.3,57.4,57.9,210.7,3471.4,415.2,208.5,332.4,74.4,87,269.4,167.8,130.2,88.2,64.2
02/01/2020,      Unemployment,423,34.8,8.6,26.1,4.9,6.3,4.4,17.5,200,21.5,12.3,19.1,4.3,4.7,14.1,15.1,6.2,5,3.4
02/01/2020,Unemployment rate,5.3,4.3,4.6,4.2,5.6,9.9,7.1,7.7,5.4,4.9,5.6,5.4,5.5,5.1,5,8.3,4.5,5.4,5
