month,Census metropolitan area (CMA),Unemployment rate
Jan-21,"    St. John's, Newfoundland and Labrador",8.8
Jan-21,    Halifax,7.5
Jan-21,    Moncton,9.2
Jan-21,"    Saint John, New Brunswick",12.1
Jan-21,    Saguenay,6.3
Jan-21,    Québec,4.7
Jan-21,    Sherbrooke,6.2
Jan-21,    Trois-Rivières,6.8
Jan-21,    Montréal,8.5
Jan-21,    Ottawa-Gatineau,6.7
Jan-21,"      Ottawa-Gatineau, Quebec part",7.3
Jan-21,"      Ottawa-Gatineau, Ontario part",6.5
Jan-21,    Kingston,6.5
Jan-21,    Peterborough,4.8
Jan-21,    Oshawa,12.8
Jan-21,    Toronto,8.4
Jan-21,    Hamilton,11.1
Jan-21,    St. Catharines - Niagara,6.8
Jan-21,    Kitchener - Cambridge - Waterloo,11.5
Jan-21,    Brantford,8.3
Jan-21,    Guelph,6.9
Jan-21,    London,6.3
Jan-21,    Windsor,7.7
Jan-21,    Barrie,10.3
Jan-21,    Greater Sudbury,14.2
Jan-21,    Thunder Bay,7.9
Jan-21,    Winnipeg,8.4
Jan-21,    Regina,8.8
Jan-21,    Saskatoon,7.6
Jan-21,    Calgary,8.6
Jan-21,    Edmonton,8.1
Jan-21,    Kelowna,10.6
Jan-21,    Abbotsford - Mission,11.9
Jan-21,    Vancouver,4.6
Jan-21,    Victoria,7.8
,,
,,
,,
"Source: Statistics Canada, Labour Force Survey, Table 14-10-0294-01, (seasonally adjusted data three-month moving average to reduce volatility caused by small sample size). ",,
