month,Census metropolitan area (CMA),Unemployment rate,
12/01/2022,"    St. John's, Newfoundland and Labrador",7.2,STAT: Estimate (Monthly)
12/01/2022,    Halifax,5.9,
12/01/2022,    Moncton,6.4,
12/01/2022,"    Saint John, New Brunswick",7.7,
12/01/2022,    Saguenay,3.9,
12/01/2022,    Québec,3,
12/01/2022,    Sherbrooke,2.8,
12/01/2022,    Trois-Rivières,5.1,
12/01/2022,    Montréal,5.2,
12/01/2022,    Ottawa-Gatineau,4.7,
12/01/2022,"      Ottawa-Gatineau, Quebec part",5,
12/01/2022,"      Ottawa-Gatineau, Ontario part",4.7,
12/01/2022,    Kingston,5.9,
12/01/2022,    Belleville,3.9,
12/01/2022,    Peterborough,8.7,
12/01/2022,    Oshawa,6.6,
12/01/2022,    Toronto,7.7,
12/01/2022,    Hamilton,5.5,
12/01/2022,    St. Catharines - Niagara,7.8,
12/01/2022,    Kitchener - Cambridge - Waterloo,5.2,
12/01/2022,    Brantford,6.5,
12/01/2022,    Guelph,4.1,
12/01/2022,    London,6.3,
12/01/2022,    Windsor,8.2,
12/01/2022,    Barrie,6.6,
12/01/2022,    Greater Sudbury,5.3,
12/01/2022,    Thunder Bay,6.6,
12/01/2022,    Winnipeg,5,
12/01/2022,    Regina,5.3,
12/01/2022,    Saskatoon,5.2,
12/01/2022,    Lethbridge,7.5,
12/01/2022,    Calgary,8.5,
12/01/2022,    Edmonton,6.6,
12/01/2022,    Kelowna,7.2,
12/01/2022,    Abbotsford - Mission,5.4,
12/01/2022,    Vancouver,5.7,
12/01/2022,    Victoria,3.9,
,,,
"Source: Statistics Canada, Labour Force Survey, Table 14-10-0294-01, (seasonally adjusted data three-month moving average to reduce volatility caused by small sample size). ",,,
