month,Census metropolitan area (CMA),Unemployment rate
Jul-21,"    St. John's, Newfoundland and Labrador",8.3
Jul-21,    Halifax,8.7
Jul-21,    Moncton,6.7
Jul-21,"    Saint John, New Brunswick",8.8
Jul-21,    Saguenay,5.9
Jul-21,    Québec,4
Jul-21,    Sherbrooke,5.2
Jul-21,    Trois-Rivières,4.6
Jul-21,    Montréal,7.5
Jul-21,    Ottawa-Gatineau,7.1
Jul-21,"      Ottawa-Gatineau, Quebec part",5.6
Jul-21,"      Ottawa-Gatineau, Ontario part",7.6
Jul-21,    Kingston,8.5
Jul-21,    Belleville,8.8
Jul-21,    Peterborough,6.5
Jul-21,    Oshawa,8.4
Jul-21,    Toronto,9.8
Jul-21,    Hamilton,7.4
Jul-21,    St. Catharines - Niagara,10.6
Jul-21,    Kitchener - Cambridge - Waterloo,7
Jul-21,    Brantford,6.1
Jul-21,    Guelph,8.4
Jul-21,    London,9.1
Jul-21,    Windsor,11.1
Jul-21,    Barrie,7.5
Jul-21,    Greater Sudbury,8.6
Jul-21,    Thunder Bay,6.2
Jul-21,    Winnipeg,7.4
Jul-21,    Regina,6.1
Jul-21,    Saskatoon,7.9
Jul-21,    Lethbridge,4.5
Jul-21,    Calgary,9.8
Jul-21,    Edmonton,8.8
Jul-21,    Kelowna,5.6
Jul-21,    Abbotsford - Mission,5.4
Jul-21,    Vancouver,7.6
Jul-21,    Victoria,4.3
,,
"Source: Statistics Canada, Labour Force Survey, Table 14-10-0294-01, (seasonally adjusted data three-month moving average to reduce volatility caused by small sample size). ",,
