month,Census metropolitan area (CMA),Unemployment rate
21-Jun,"    St. John's, Newfoundland and Labrador",8.8
21-Jun,    Halifax,8.8
21-Jun,    Moncton,7.8
21-Jun,"    Saint John, New Brunswick",8.2
21-Jun,    Saguenay,6.5
21-Jun,    Québec,5.1
21-Jun,    Sherbrooke,5.1
21-Jun,    Trois-Rivières,4.4
21-Jun,    Montréal,7.7
21-Jun,    Ottawa-Gatineau,7.8
21-Jun,"      Ottawa-Gatineau, Quebec part",6.3
21-Jun,"      Ottawa-Gatineau, Ontario part",8.2
21-Jun,    Kingston,8.9
21-Jun,    Belleville,10.4
21-Jun,    Peterborough,5.9
21-Jun,    Oshawa,9
21-Jun,    Toronto,9.8
21-Jun,    Hamilton,8.1
21-Jun,    St. Catharines - Niagara,11.5
21-Jun,    Kitchener - Cambridge - Waterloo,6.5
21-Jun,    Brantford,6.5
21-Jun,    Guelph,9.4
21-Jun,    London,10
21-Jun,    Windsor,11.8
21-Jun,    Barrie,8.4
21-Jun,    Greater Sudbury,7.9
21-Jun,    Thunder Bay,7.1
21-Jun,    Winnipeg,7.9
21-Jun,    Regina,6.8
21-Jun,    Saskatoon,7.3
21-Jun,    Lethbridge,5.9
21-Jun,    Calgary,9.2
21-Jun,    Edmonton,9.7
21-Jun,    Kelowna,6.3
21-Jun,    Abbotsford - Mission,5.7
21-Jun,    Vancouver,7.5
21-Jun,    Victoria,5.4
,,
"Source: Statistics Canada, Labour Force Survey, Table 14-10-0294-01, (seasonally adjusted data three-month moving average to reduce volatility caused by small sample size). ",,
