month,Census metropolitan area (CMA),Unemployment rate,
03/01/2022,"    St. John's, Newfoundland and Labrador",7.4,STAT: Estimate (Monthly)
03/01/2022,    Halifax,5.4,
03/01/2022,    Moncton,5.7,
03/01/2022,"    Saint John, New Brunswick",7.4,
03/01/2022,    Saguenay,4.5,
03/01/2022,    Québec,2.7,
03/01/2022,    Sherbrooke,2.6,
03/01/2022,    Trois-Rivières,3.9,
03/01/2022,    Montréal,5.1,
03/01/2022,    Ottawa-Gatineau,4.9,
03/01/2022,"      Ottawa-Gatineau, Quebec part",3.8,
03/01/2022,"      Ottawa-Gatineau, Ontario part",5.3,
03/01/2022,    Kingston,5.9,
03/01/2022,    Belleville,3.5,
03/01/2022,    Peterborough,3.8,
03/01/2022,    Oshawa,5.4,
03/01/2022,    Toronto,7.2,
03/01/2022,    Hamilton,5.3,
03/01/2022,    St. Catharines - Niagara,6.2,
03/01/2022,    Kitchener - Cambridge - Waterloo,5.4,
03/01/2022,    Brantford,5.1,
03/01/2022,    Guelph,4.8,
03/01/2022,    London,5.3,
03/01/2022,    Windsor,8.3,
03/01/2022,    Barrie,7.6,
03/01/2022,    Greater Sudbury,4,
03/01/2022,    Thunder Bay,4.9,
03/01/2022,    Winnipeg,5.1,
03/01/2022,    Regina,5.2,
03/01/2022,    Saskatoon,4.6,
03/01/2022,    Lethbridge,6.8,
03/01/2022,    Calgary,7.7,
03/01/2022,    Edmonton,7.1,
03/01/2022,    Kelowna,6.7,
03/01/2022,    Abbotsford - Mission,3.9,
03/01/2022,    Vancouver,5.4,
03/01/2022,    Victoria,4.1,
,,,
"Source: Statistics Canada, Labour Force Survey, Table 14-10-0294-01, (seasonally adjusted data three-month moving average to reduce volatility caused by small sample size). ",,,
