month,Census metropolitan area (CMA),Unemployment rate
Mar-21,"    St. John's, Newfoundland and Labrador",9.5
Mar-21,    Halifax,8.2
Mar-21,    Moncton,9.6
Mar-21,"    Saint John, New Brunswick",10.9
Mar-21,    Saguenay,5.9
Mar-21,    Québec,4.9
Mar-21,    Sherbrooke,5.7
Mar-21,    Trois-Rivières,6.4
Mar-21,    Montréal,8.3
Mar-21,    Ottawa-Gatineau,6.5
Mar-21,"      Ottawa-Gatineau, Quebec part",7.3
Mar-21,"      Ottawa-Gatineau, Ontario part",6.3
Mar-21,    Kingston,7.7
Mar-21,    Belleville,10.4
Mar-21,    Peterborough,9.4
Mar-21,    Oshawa,7.9
Mar-21,    Toronto,10.3
Mar-21,    Hamilton,6.4
Mar-21,    St. Catharines - Niagara,12.2
Mar-21,    Kitchener - Cambridge - Waterloo,7
Mar-21,    Brantford,7.2
Mar-21,    Guelph,9
Mar-21,    London,7
Mar-21,    Windsor,9.8
Mar-21,    Barrie,11
Mar-21,    Greater Sudbury,8.4
Mar-21,    Thunder Bay,8.4
Mar-21,    Winnipeg,7.8
Mar-21,    Regina,8.6
Mar-21,    Saskatoon,8.2
Mar-21,    Lethbridge,6.4
Mar-21,    Calgary,10
Mar-21,    Edmonton,11.2
Mar-21,    Kelowna,5
Mar-21,    Abbotsford - Mission,6.3
Mar-21,    Vancouver,8
Mar-21,    Victoria,5.7
,,
"Source: Statistics Canada, Labour Force Survey, Table 14-10-0294-01, (seasonally adjusted data three-month moving average to reduce volatility caused by small sample size). ",,
