month,Census metropolitan area (CMA),Unemployment rate
May-21,"    St. John's, Newfoundland and Labrador",8.5
May-21,    Halifax,8.9
May-21,    Moncton,8.8
May-21,"    Saint John, New Brunswick",8.5
May-21,    Saguenay,6.1
May-21,    Québec,4.9
May-21,    Sherbrooke,4.6
May-21,    Trois-Rivières,4.2
May-21,    Montréal,7.9
May-21,    Ottawa-Gatineau,7.6
May-21,"      Ottawa-Gatineau, Quebec part",6.2
May-21,"      Ottawa-Gatineau, Ontario part",7.9
May-21,    Kingston,8.7
May-21,    Belleville,11
May-21,    Peterborough,5.9
May-21,    Oshawa,8.4
May-21,    Toronto,9.6
May-21,    Hamilton,7.7
May-21,    St. Catharines - Niagara,10.8
May-21,    Kitchener - Cambridge - Waterloo,6.7
May-21,    Brantford,6.1
May-21,    Guelph,9.1
May-21,    London,9.7
May-21,    Windsor,10.6
May-21,    Barrie,7.7
May-21,    Greater Sudbury,8.1
May-21,    Thunder Bay,7.7
May-21,    Winnipeg,7.6
May-21,    Regina,7.5
May-21,    Saskatoon,7.4
May-21,    Lethbridge,6.8
May-21,    Calgary,8.7
May-21,    Edmonton,10.2
May-21,    Kelowna,5.8
May-21,    Abbotsford - Mission,5.6
May-21,    Vancouver,7.5
May-21,    Victoria,6.3
,,
"Source: Statistics Canada, Labour Force Survey, Table 14-10-0294-01, (seasonally adjusted data three-month moving average to reduce volatility caused by small sample size). ",,
