Date,CHAR,  Ontario,    Ottawa-Gatineau,"      Ottawa-Gatineau, Quebec part","      Ottawa-Gatineau, Ontario part",    Kingston,    Belleville,    Peterborough,    Oshawa,    Toronto,    Hamilton,    St. Catharines - Niagara,    Kitchener - Cambridge - Waterloo,    Brantford,    Guelph,    London,    Windsor,    Barrie,    Greater Sudbury,    Thunder Bay
01/01/2020,Population,12146.8,1184.9,283,902,141.1,120.1,110.9,339.8,5457.9,663.1,369.8,487.3,118.2,138.4,457.7,299.4,178.4,145.1,106.9
01/01/2020,   Labour force,7891,819.7,190.2,629.5,87.5,60.5,62,222.3,3644.4,436,221.5,346,79.3,91.3,283.6,181.5,131.7,91.7,67.5
01/01/2020,      Employment,7466.4,781.8,180.8,600.9,82.4,55.7,57.5,207.3,3440.8,413.7,209.5,327.6,75.5,86.7,269.1,166.3,125.2,86.9,63.8
01/01/2020,      Unemployment,424.6,37.9,9.4,28.5,5.1,4.8,4.5,15.1,203.6,22.3,12.1,18.4,3.8,4.6,14.5,15.2,6.5,4.8,3.6
01/01/2020,Unemployment rate,5.4,4.6,4.9,4.5,5.8,7.9,7.3,6.8,5.6,5.1,5.5,5.3,4.8,5,5.1,8.4,4.9,5.2,5.3
01/01/2020,Participation rate,65,69.2,67.2,69.8,62,50.4,55.9,65.4,66.8,65.8,59.9,71,67.1,66,62,60.6,73.8,63.2,63.1
01/01/2020,Employment rate,61.5,66,63.9,66.6,58.4,46.4,51.8,61,63,62.4,56.7,67.2,63.9,62.6,58.8,55.5,70.2,59.9,59.7
02/01/2020,Population,12158.5,1186.3,283.1,903.2,141.3,123.3,111.1,340.1,5465,663.3,370.1,488.2,118.2,138.5,458.4,299.9,178.6,145.1,106.9
02/01/2020,   Labour force,7908.6,809.2,189.1,620.1,87.7,64.3,61.7,226.6,3653.8,435.5,221.3,351.2,77.6,91.5,283.6,183.5,134.4,92.9,67.9
02/01/2020,      Employment,7486,771.7,179.9,591.9,83.1,58.2,57.9,210.6,3455.5,413.3,209.2,331.9,73.5,86.9,269.4,168.4,128.7,87.9,64.1
02/01/2020,      Unemployment,422.7,37.5,9.2,28.3,4.6,6.1,3.8,16,198.3,22.2,12.1,19.3,4.1,4.7,14.2,15.1,5.7,5,3.7
02/01/2020,Unemployment rate,5.3,4.6,4.9,4.6,5.2,9.5,6.2,7.1,5.4,5.1,5.5,5.5,5.3,5.1,5,8.2,4.2,5.4,5.4
02/01/2020,Participation rate,65,68.2,66.8,68.7,62.1,52.1,55.5,66.6,66.9,65.7,59.8,71.9,65.7,66.1,61.9,61.2,75.3,64,63.5
02/01/2020,Employment rate,61.6,65.1,63.5,65.5,58.8,47.2,52.1,61.9,63.2,62.3,56.5,68,62.2,62.7,58.8,56.2,72.1,60.6,60
03/01/2020,Population,12170.9,1187.8,283.3,904.6,141.4,117.7,111.3,340.4,5472.6,663.5,370.4,489.2,118.3,138.6,459.2,300.4,178.8,145.2,106.9
03/01/2020,   Labour force,7833.2,797.6,188.9,608.6,86.7,60,60.2,228.2,3611.4,433.4,217.5,351.5,76.3,92.3,283.2,182.1,132.9,91.2,66.7
