month,Census metropolitan area (CMA),Unemployment rate
11/01/2021,"St. John's, Newfoundland and Labrador",6.9
11/01/2021,"Halifax, Nova Scotia",6.4
11/01/2021,"Moncton, New Brunswick",7
11/01/2021,"Saint John, New Brunswick",8.5
11/01/2021,"Saguenay, Quebec",4.2
11/01/2021,"Québec, Quebec",2.8
11/01/2021,"Sherbrooke, Quebec",3.4
11/01/2021,"Trois-Rivières, Quebec",4.6
11/01/2021,"Montréal, Quebec",5.8
11/01/2021,Ontario,6.9
11/01/2021,"Ottawa-Gatineau, Ontario/Quebec",4.4
11/01/2021,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",3.7
11/01/2021,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",4.6
11/01/2021,"Kingston, Ontario",6.5
11/01/2021,"Belleville, Ontario",7.9
11/01/2021,"Peterborough, Ontario 7",8.4
11/01/2021,"Oshawa, Ontario",6.2
11/01/2021,"Toronto, Ontario",7.7
11/01/2021,"Hamilton, Ontario",5.7
11/01/2021,"St. Catharines-Niagara, Ontario",7.5
11/01/2021,"Kitchener-Cambridge-Waterloo, Ontario",5.7
11/01/2021,"Brantford, Ontario",7.6
11/01/2021,"Guelph, Ontario",4.5
11/01/2021,"London, Ontario",6.4
11/01/2021,"Windsor, Ontario",8.1
11/01/2021,"Barrie, Ontario",4.6
11/01/2021,"Greater Sudbury, Ontario",6.2
11/01/2021,"Thunder Bay, Ontario",6.6
11/01/2021,"Winnipeg, Manitoba",5.7
11/01/2021,"Regina, Saskatchewan",5.5
11/01/2021,"Saskatoon, Saskatchewan",6.4
11/01/2021,"Lethbridge, Alberta",6.1
11/01/2021,"Calgary, Alberta",8.1
11/01/2021,"Edmonton, Alberta",7.6
11/01/2021,"Kelowna, British Columbia 7",4.4
11/01/2021,"Abbotsford-Mission, British Columbia",8.2
11/01/2021,"Vancouver, British Columbia",5.9
11/01/2021,"Victoria, British Columbia",4
,,
"Source: Statistics Canada, Labour Force Survey, Table 14-10-0294-01, (seasonally adjusted data three-month moving average to reduce volatility caused by small sample size). ",,
