month,Census metropolitan area (CMA),Unemployment rate
10/01/2021,"    St. John's, Newfoundland and Labrador",6.4
10/01/2021,    Halifax,6.5
10/01/2021,    Moncton,6.9
10/01/2021,"    Saint John, New Brunswick",8.3
10/01/2021,    Saguenay,5.1
10/01/2021,    Québec,3.8
10/01/2021,    Sherbrooke,4.2
10/01/2021,    Trois-Rivières,4.8
10/01/2021,    Montréal,6.4
10/01/2021,    Ottawa-Gatineau,5.1
10/01/2021,"      Ottawa-Gatineau, Quebec part",3.9
10/01/2021,"      Ottawa-Gatineau, Ontario part",5.4
10/01/2021,    Kingston,6.7
10/01/2021,    Belleville,6.8
10/01/2021,    Peterborough,7.2
10/01/2021,    Oshawa,7.5
10/01/2021,    Toronto,8.4
10/01/2021,    Hamilton,6.1
10/01/2021,    St. Catharines - Niagara,7.3
10/01/2021,    Kitchener - Cambridge - Waterloo,6.7
10/01/2021,    Brantford,7.2
10/01/2021,    Guelph,5.1
10/01/2021,    London,6.7
10/01/2021,    Windsor,9.2
10/01/2021,    Barrie,5.4
10/01/2021,    Greater Sudbury,6.9
10/01/2021,    Thunder Bay,6.4
10/01/2021,    Winnipeg,6.1
10/01/2021,    Regina,6.1
10/01/2021,    Saskatoon,7.1
10/01/2021,    Lethbridge,5.2
10/01/2021,    Calgary,8
10/01/2021,    Edmonton,8
10/01/2021,    Kelowna,4.4
10/01/2021,    Abbotsford - Mission,8
10/01/2021,    Vancouver,6.2
10/01/2021,    Victoria,4.4
,,
"Source: Statistics Canada, Labour Force Survey, Table 14-10-0294-01, (seasonally adjusted data three-month moving average to reduce volatility caused by small sample size). ",,
