month,Census metropolitan area (CMA),Unemployment rate
09/01/2021,"    St. John's, Newfoundland and Labrador",6.3
09/01/2021,    Halifax,7
09/01/2021,    Moncton,6.4
09/01/2021,"    Saint John, New Brunswick",8.7
09/01/2021,    Saguenay,5.3
09/01/2021,    Québec,4.1
09/01/2021,    Sherbrooke,4.5
09/01/2021,    Trois-Rivières,5.1
09/01/2021,    Montréal,6.7
09/01/2021,    Ottawa-Gatineau,5.5
09/01/2021,"      Ottawa-Gatineau, Quebec part",4.4
09/01/2021,"      Ottawa-Gatineau, Ontario part",5.9
09/01/2021,    Kingston,7.2
09/01/2021,    Belleville,7
09/01/2021,    Peterborough,6.6
09/01/2021,    Oshawa,7.6
09/01/2021,    Toronto,8.9
09/01/2021,    Hamilton,6.3
09/01/2021,    St. Catharines - Niagara,8.2
09/01/2021,    Kitchener - Cambridge - Waterloo,7.2
09/01/2021,    Brantford,6.1
09/01/2021,    Guelph,6
09/01/2021,    London,7.3
09/01/2021,    Windsor,10.4
09/01/2021,    Barrie,6.2
09/01/2021,    Greater Sudbury,8.4
09/01/2021,    Thunder Bay,6.3
09/01/2021,    Winnipeg,6.4
09/01/2021,    Regina,6.1
09/01/2021,    Saskatoon,7.8
09/01/2021,    Lethbridge,4.8
09/01/2021,    Calgary,8.9
09/01/2021,    Edmonton,8.2
09/01/2021,    Kelowna,5.4
09/01/2021,    Abbotsford - Mission,6.9
09/01/2021,    Vancouver,6.7
09/01/2021,    Victoria,4.2
,,
"Source: Statistics Canada, Labour Force Survey, Table 14-10-0294-01, (seasonally adjusted data three-month moving average to reduce volatility caused by small sample size). ",,
