,HOOD_158,NEIGHBOURHOOD_158,,,
1,120,Clairlea-Birchmount (120),,neighbourhood,neighbourhood120
2,172,Dovercourt Village (172),,neighbourhood,neighbourhood172
3,163,Fort York-Liberty Village (163),,neighbourhood,neighbourhood163
4,159,Etobicoke City Centre (159),,neighbourhood,neighbourhood159
5,161,Humber Bay Shores (161),,neighbourhood,neighbourhood161
6,001,West Humber-Clairville (1),,neighbourhood,neighbourhood001
7,063,The Beaches (63),,neighbourhood,neighbourhood063
8,022,Humbermede (22),,neighbourhood,neighbourhood022
9,027,York University Heights (27),,neighbourhood,neighbourhood027
10,142,Woburn North (142),,neighbourhood,neighbourhood142
11,099,Mount Pleasant East (99),,neighbourhood,neighbourhood099
12,136,West Hill (136),,neighbourhood,neighbourhood136
13,150,Fenside-Parkwoods (150),,neighbourhood,neighbourhood150
14,124,Kennedy Park (124),,neighbourhood,neighbourhood124
15,NSA,NSA,,neighbourhood,neighbourhoodNSA
16,126,Dorset Park (126),,neighbourhood,neighbourhood126
17,064,Woodbine Corridor (64),,neighbourhood,neighbourhood064
18,101,Forest Hill South (101),,neighbourhood,neighbourhood101
19,094,Wychwood (94),,neighbourhood,neighbourhood094
20,160,Mimico-Queensway (160),,neighbourhood,neighbourhood160
21,114,Lambton Baby Point (114),,neighbourhood,neighbourhood114
22,165,Harbourfront-CityPlace (165),,neighbourhood,neighbourhood165
23,166,St Lawrence-East Bayfront-The Islands,,neighbourhood,neighbourhood166
24,128,Agincourt South-Malvern West (128),,neighbourhood,neighbourhood128
25,054,O'Connor-Parkview (54),,neighbourhood,neighbourhood054
26,073,Moss Park (73),,neighbourhood,neighbourhood073
27,155,Downsview (155),,neighbourhood,neighbourhood155
28,092,Corso Italia-Davenport (92),,neighbourhood,neighbourhood092
29,031,Yorkdale-Glen Park (31),,neighbourhood,neighbourhood031
30,164,Wellington Place (164),,neighbourhood,neighbourhood164
31,170,Yonge-Bay Corridor (170),,neighbourhood,neighbourhood170
32,078,Kensington-Chinatown (78),,neighbourhood,neighbourhood078
33,121,Oakridge (121),,neighbourhood,neighbourhood121
34,020,Alderwood (20),,neighbourhood,neighbourhood020
35,154,Oakdale-Beverley Heights (154),,neighbourhood,neighbourhood154
36,125,Ionview (125),,neighbourhood,neighbourhood125
37,012,Markland Wood (12),,neighbourhood,neighbourhood012
38,168,Downtown Yonge East (168),,neighbourhood,neighbourhood168
39,085,South Parkdale (85),,neighbourhood,neighbourhood085
40,139,Scarborough Village (139),,neighbourhood,neighbourhood139
41,033,Clanton Park (33),,neighbourhood,neighbourhood033
42,030,Brookhaven-Amesbury (30),,neighbourhood,neighbourhood030
43,018,New Toronto (18),,neighbourhood,neighbourhood018
44,072,Regent Park (72),,neighbourhood,neighbourhood072
45,024,Black Creek (24),,neighbourhood,neighbourhood024
46,071,Cabbagetown-South St.James Town (71),,neighbourhood,neighbourhood071
47,041,Bridle Path-Sunnybrook-York Mills (41),,neighbourhood,neighbourhood041
48,107,Oakwood Village (107),,neighbourhood,neighbourhood107
49,111,Rockcliffe-Smythe (111),,neighbourhood,neighbourhood111
50,070,South Riverdale (70),,neighbourhood,neighbourhood070
51,151,Yonge-Doris (151),,neighbourhood,neighbourhood151
52,141,Golfdale-Cedarbrae-Woburn (141),,neighbourhood,neighbourhood141
53,074,North St.James Town (74),,neighbourhood,neighbourhood074
54,123,Cliffcrest (123),,neighbourhood,neighbourhood123
55,088,High Park North (88),,neighbourhood,neighbourhood088
56,036,Newtonbrook West (36),,neighbourhood,neighbourhood036
57,052,Bayview Village (52),,neighbourhood,neighbourhood052
58,167,Church-Wellesley (167),,neighbourhood,neighbourhood167
59,138,Eglinton East (138),,neighbourhood,neighbourhood138
60,108,Briar Hill-Belgravia (108),,neighbourhood,neighbourhood108
61,134,Highland Creek (134),,neighbourhood,neighbourhood134
62,046,Pleasant View (46),,neighbourhood,neighbourhood046
63,025,Glenfield-Jane Heights (25),,neighbourhood,neighbourhood025
64,006,Kingsview Village-The Westway (6),,neighbourhood,neighbourhood006
65,040,St.Andrew-Windfields (40),,neighbourhood,neighbourhood040
66,158,Islington (158),,neighbourhood,neighbourhood158
67,042,Banbury-Don Mills (42),,neighbourhood,neighbourhood042
68,055,Thorncliffe Park (55),,neighbourhood,neighbourhood055
69,062,East End-Danforth (62),,neighbourhood,neighbourhood062
70,084,Little Portugal (84),,neighbourhood,neighbourhood084
71,149,Parkwoods-O'Connor Hills (149),,neighbourhood,neighbourhood149
72,119,Wexford/Maryvale (119),,neighbourhood,neighbourhood119
73,067,Playter Estates-Danforth (67),,neighbourhood,neighbourhood067
74,156,Bendale-Glen Andrew (156),,neighbourhood,neighbourhood156
75,171,Junction-Wallace Emerson (171),,neighbourhood,neighbourhood171
76,169,Bay-Cloverhill (169),,neighbourhood,neighbourhood169
77,059,Danforth East York (59),,neighbourhood,neighbourhood059
78,087,High Park-Swansea (87),,neighbourhood,neighbourhood087
79,173,North Toronto (173),,neighbourhood,neighbourhood173
80,044,Flemingdon Park (44),,neighbourhood,neighbourhood044
81,095,Annex (95),,neighbourhood,neighbourhood095
82,130,Milliken (130),,neighbourhood,neighbourhood130
83,053,Henry Farm (53),,neighbourhood,neighbourhood053
