ORGANIZATION_NAME,SHELTER_ID,LOCATION_ID,LOCATION_NAME,LOCATION_ADDRESS,LOCATION_POSTAL_CODE,LOCATION_CITY,NEIGHBOURHOOD
City of Toronto,62,1123,SSHA North Hotel Program,3600 Steeles Ave W,L4L 8P5,Vaughan,
City of Toronto,62,1123,TSSS North Hotel Program,3600 Steeles Ave W,L4L 8P5,Vaughan,
City of Toronto,83,1194,Scarborough Women's Shelter - Milner,20 Milner Business Ct,M1B 3M6,Scarborough,146
City of Toronto,2,1065,SSHA Family Residence,4222 Kingston Rd,M1E 2M6,Toronto,136
City of Toronto,2,1065,TSSS Family Residence,4222 Kingston Rd,M1E 2M6,Toronto,136
City of Toronto,2,1067,SSHA Scarborough Hotel Program 4,4540 Kingston Rd,M1E 2N8,Toronto,136
City of Toronto,2,1067,TSSS Scarborough Hotel Program 4,4540 Kingston Rd,M1E 2N8,Toronto,136
Eva's Initiatives,18,1155,SSHA Scarborough Hotel Program 1,4584 Kingston Rd,M1E 2P4,Scarborough,136
Eva's Initiatives,18,1155,Eva's Satellite Scarborough Hotel Program,4584 Kingston Rd,M1E 2P4,Scarborough,136
City of Toronto,59,1155,SSHA Scarborough Hotel Program 1,4584 Kingston Rd,M1E 2P4,Scarborough,136
City of Toronto,2,1066,SSHA Scarborough Hotel Program 3,4674 Kingston Rd,M1E 2P9,Toronto,136
City of Toronto,2,1066,TSSS Scarborough Hotel Program 3,4674 Kingston Rd,M1E 2P9,Toronto,136
Homes First Society,24,1195,HFS - Lawrence East Shelter,4117 Lawrence Ave E,M1E 2S2,Scarborough,136
City of Toronto,82,1561,885 Scarborough Golf Club Road,885 Scarborough Golf Club Road,M1G 1J6,Toronto,135
Warden Woods Community Centre,71,1115,Warden Woods 705 Progress Ave Respite,705 Progress Ave,M1H 2X1,Toronto,142
Warden Woods Community Centre,71,1115,Warden Woods 705 Progress Ave Respite ,705 Progress Ave,M1H 2X1,Toronto,142
City of Toronto,94,1360,Progress Avenue Shelter,705 Progress Ave,M1H 2X1,Toronto,142
The Salvation Army of Canada,45,1166,SA Scarborough Hotel Program,50 Estate Dr,M1H 2Z1,Scarborough,142
Homes First Society,24,1031,HFS St. Clair Ave E Shelter,3576 St Clair Ave E,M1K 1M2,Toronto,120
Homes First Society,68,1108,HFS Kennedy Rd Women's Shelter,702 Kennedy Rd,M1K 2B5,Toronto,124
City of Toronto,91,1158,Warden Hilltop CC,25 Mendelssohn St,M1L 0G8,Scarborough,120
YouthLink,81,1147,YouthLink,747 Warden Ave,M1L 4A1,Scarborough,120
YouthLink,81,1147,YouthLink ,747 Warden Ave,M1L 4A1,Scarborough,120
City of Toronto,83,1182,SSHA Scarborough Response Program,2685 Kingston Rd,M1M 1M4,Scarborough,123
City of Toronto,59,1151,SSHA Scarborough Village Residence,3306 Kingston Rd,M1M 1P8,Toronto,139
City of Toronto,59,1151,TSSS Scarborough Village Residence,3306 Kingston Rd,M1M 1P8,Toronto,139
City of Toronto,59,1420,Scarborough Civic Centre,150 Borough Dr,M1P 4N7,Toronto,156
City of Toronto,53,1070,SSHA Birkdale Residence,1229 Ellesmere Rd,M1P 4V8,Toronto,156
City of Toronto,53,1070,TSSS Birkdale Residence,1229 Ellesmere Rd,M1P 4V8,Toronto,156
Homes First Society,24,1220,HFS - Metro Strachan,22 Metropolitan Rd,M1R 2T5,Toronto,119
Eva's Initiatives,18,1174,Multiple Youth & Adult Agencies Scarborough Hotel Program,2035 Kennedy Rd,M1T 3G2,Scarborough,128
Eva's Initiatives,18,1179,Multiple Youth & Adult Agencies Scarborough Hotel Program,2035 Kennedy Rd,M1T 3G2,Scarborough,128
Homes First Society,24,1179,Multiple Youth & Adult Agencies Scarborough Hotel Program,2035 Kennedy Rd,M1T 3G2,Scarborough,128
Kennedy House Youth Services,57,1173,Multiple Youth & Adult Agencies Scarborough Hotel Program,2035 Kennedy Rd,M1T 3G2,Scarborough,128
Kennedy House Youth Services,57,1179,Multiple Youth & Adult Agencies Scarborough Hotel Program,2035 Kennedy Rd,M1T 3G2,Scarborough,128
Homes First Society,24,1200,NA,101 Placer Ct,M2H 3H9,Toronto,48
Homes First Society,24,1200,HFS Placer,101 Placer Ct,M2H 3H9,Toronto,48
COSTI Immigrant Services,40,1114,COSTI Uptown Hotel Program,55 Hallcrown Pl,M2J 4R1,North York,53
Fred Victor Centre,42,1130,Fred Victor Uptown Hotel Program,185 Yorkland Blvd,M2J 4R2,North York,53
Fred Victor Centre,44,1130,Fred Victor Uptown Hotel Program,185 Yorkland Blvd,M2J 4R2,North York,53
Society of St.Vincent De Paul,31,1039,SVDP St. Clare's Residence,3410 Bayview Ave,M2M 3S3,Toronto,50
Homes First Society,24,1153,HFS Willowdale Centre,5800 Yonge St,M2M 3T3,North York,36
Dixon Hall,95,1460,Dixon Hall Warming Centre - North York,12 Holmes Ave,M2N 4N4,Toronto,151
Dixon Hall,95,1460,Dixon Hall - Willowdale - Olive,15 Olive Ave,M2N 4N4,Toronto,151
Dixon Hall,95,1460,Dixon Hall - Warming Centre North York,12 Holmes Ave,M2N 4N4,Toronto,151
Dixon Hall,95,1400,Mitchell Field CC,89 Church Ave.,M2N 6C9,Toronto,152
Eva's Initiatives,18,1024,Eva's Place,360 Lesmill Rd,M3B 2T5,Toronto,40
COSTI Immigrant Services,40,1103,COSTI/City North York West Hotel Program,1677 Wilson Ave,M3L 1A5,North York,154
COSTI Immigrant Services,40,1103,SSHA North York West Hotel Program,1677 Wilson Ave,M3L 1A5,North York,154
City of Toronto,53,1103,COSTI/City North York West Hotel Program,1677 Wilson Ave,M3L 1A5,North York,154
City of Toronto,53,1103,SSHA North York West Hotel Program,1677 Wilson Ave,M3L 1A5,North York,154
City of Toronto,53,1103,TSSS North York West Hotel Program,1677 Wilson Ave,M3L 1A5,North York,154
City of Toronto,60,1009,SSHA Downsview Dells,1651 Sheppard Ave W,M3M 2X4,Toronto,155
City of Toronto,60,1009,TSSS Downsview Dells,1651 Sheppard Ave W,M3M 2X4,Toronto,155
Eva's Initiatives,17,1023,Eva's Satellite,25 Canterbury Pl,M3N 0E3,Toronto,37
The Salvation Army of Canada,11,1175,SA North Hotel Program,30 Norfinch Dr,M3N 1X1,North York,24
The Salvation Army of Canada,11,1189,Etobicoke Hotel Site 1,66 Norfinch Dr,M3N 1X1,North York,24
The Salvation Army of Canada,73,1175,SA North Hotel Program,30 Norfinch Dr,M3N 1X1,North York,24
The Salvation Army of Canada,73,1189,Etobicoke Hotel Site 1,66 Norfinch Dr,M3N 1X1,North York,24
Dixon Hall,9,1015,Dixon Hall Heyworth House,2714 Danforth Ave,M4C 1L7,Toronto,62
Kennedy House Youth Services,57,1080,Kennedy House Youth Shelter,1076 Pape Ave,M4K 3W5,Toronto,57
YWCA Toronto,78,1171,YWCA East End Hotel Program,1684 Queen St E,M4L 1G6,Toronto,64
City of Toronto,91,1171,SSHA East End Hotel Program,1684 Queen St E,M4L 1G6,Toronto,64
WoodGreen Red Door Family Shelter,7,1001,Red Door Family Shelter,189B Booth Ave,M4M 2M5,Toronto,70
Society of St.Vincent De Paul,34,1050,SVDP Amelie House,126 Pape Ave,M4M 2V8,Toronto,70
The Salvation Army of Canada,73,1126,SA New Hope Leslieville,29A Leslie St,M4M 3C3,Toronto,65
City of Toronto,83,1181,SSHA Roehampton Hotel Program,808 Mt Pleasant Rd,M4P 2L2,Toronto,173
YWCA Toronto,50,1062,YWCA 1st Stop Woodlawn,80 Woodlawn Ave E,M4T 1C1,Toronto,98
YWCA Toronto,50,1062,YWCA 1st Stop Woodlawn ,80 Woodlawn Ave E,M4T 1C1,Toronto,98
St. Simon's Shelter Inc.,30,1038,St.Simon's Shelter,525 Bloor St E,M4W 1J1,Toronto,74
Margaret's Housing and Community Support Services,67,1118,Margaret's 21 Park Rd Respite,21 Park Rd,M4W 2N1,Toronto,98
Margaret's Housing and Community Support Services,67,1118,Margaret's 21 Park Rd Respite ,21 Park Rd,M4W 2N1,Toronto,98
Fife House Foundation,41,1054,Fife House Sherbourne St,490 Sherbourne St,M4X 1K9,Toronto,74
St. Simon's Shelter Inc.,30,1192,St. Simon's Clubbe House,556 Sherbourne St,M4X 1L4,Toronto,74
Fred Victor Centre,58,1081,Fred Victor Mary Sheffield House,512 Jarvis St,M4Y 2H6,Toronto,167
Turning Point Youth Services,33,1041,Turning Point Youth Services,95 Wellesley St E,M4Y 2X9,Toronto,167
Turning Point Youth Services,33,1041,Turning Point Youth Services ,95 Wellesley St E,M4Y 2X9,Toronto,167
Dixon Hall,80,1149,Dixon Hall 351 Lake Shore Blvd E Respite,351 Lake Shore Blvd E,M5A 1C1,Toronto,166
Good Shepherd Ministries,16,1022,Good Shepherd Centre,412 Queen St E,M5A 1T3,Toronto,73
Friends of Ruby,85,1187,Friends of Ruby,257 Dundas St E,M5A 1Z8,Toronto,73
